constituency_name,first_party,electorate,valid_votes,invalid_votes,turnout,majority,con,lab,ld,ukip,green,snp,pc,dup,sf,sdlp,uup,alliance,other,IMDmean,declaration_time,urbn_pr
Aldershot,Con,72430,46191,114,63.930691702333284,14901,23369,8468,4076,8253,2025,0,0,0,0,0,0,0,0,11.81046425168,08/05/2015 04:39,55.4795741
Aldridge-Brownhills,Con,60215,39497,105,65.76766586398738,11723,20558,8835,1330,7751,826,0,0,0,0,0,0,0,197,16.5816453644353,08/05/2015 04:55,18.3676628
Altrincham And Sale West,Con,71511,50517,158,70.863223839689,13290,26771,13481,4235,4047,1983,0,0,0,0,0,0,0,0,11.4429102590596,08/05/2015 05:34,26.881699
Amber Valley,Con,69510,45717,103,65.91857286721336,4205,20106,15901,1360,7263,1087,0,0,0,0,0,0,0,0,17.2536637849137,08/05/2015 04:31,0
Arundel And South Downs,Con,77242,56477,242,73.43025814971129,26177,34331,6324,4062,8154,3606,0,0,0,0,0,0,0,0,14.3802285767613,08/05/2015 07:51,0
Ashfield,Lab,77091,47409,209,61.76855923518958,8820,10628,19448,7030,10150,0,0,0,0,0,0,0,0,153,19.6799620636439,08/05/2015 05:41,0
Ashford,Con,85177,57372,175,67.56166570787889,19296,30094,10580,3433,10798,2467,0,0,0,0,0,0,0,0,18.0079669338386,08/05/2015 05:19,60.4193527
Ashton-Under-Lyne,Lab,68343,38918,198,57.23483019475294,10756,8610,19366,943,8468,1531,0,0,0,0,0,0,0,0,31.4923669190946,08/05/2015 08:09,2.0073229
Aylesbury,Con,80315,55419,235,69.29465230654299,17158,28083,8391,5885,10925,2135,0,0,0,0,0,0,0,0,8.05381684772441,08/05/2015 06:00,69.197627
Banbury,Con,86420,58008,183,67.33510761397825,18395,30749,12354,3440,8050,2686,0,0,0,0,0,0,0,729,13.3938579189685,08/05/2015 07:23,0
Barking,Lab,73977,43041,111,58.331643618962644,15272,7019,24826,562,9554,897,0,0,0,0,0,0,0,183,33.4883352585559,08/05/2015 04:38,100
Barnsley Central,Lab,64534,36560,110,56.82276009545356,12435,5485,20376,770,7941,938,0,0,0,0,0,0,0,1050,25.9197579271127,08/05/2015 03:34,88.3076991
Barnsley East,Lab,69135,38517,180,55.97309611629421,12034,5622,21079,1217,9045,0,0,0,0,0,0,0,0,1554,29.8555712903327,08/05/2015 04:02,13.0804573
Barrow And Furness,Lab,68338,43275,159,63.55761069975709,795,17525,18320,1169,5070,1061,0,0,0,0,0,0,0,130,15.3910398185253,08/05/2015 06:53,0
Basildon And Billericay,Con,66347,43028,198,65.15140096763983,12482,22668,10186,1636,8538,0,0,0,0,0,0,0,0,0,17.464547233116,08/05/2015 03:23,61.3972715
Basingstoke,Con,79665,53076,219,66.8988890980983,11063,25769,14706,3919,8290,0,0,0,0,0,0,0,0,392,12.2249249103546,08/05/2015 05:17,98.9792708
Bassetlaw,Lab,76796,49289,170,64.40309391114121,8843,15122,23965,1331,7865,1006,0,0,0,0,0,0,0,0,18.3555700041982,08/05/2015 05:31,0
Bath,Con,63084,47167,192,75.07291864815167,3833,17833,6216,14000,2922,5634,0,0,0,0,0,0,0,562,10.2421830896323,08/05/2015 04:41,99.4262243
Batley And Spen,Lab,78373,50479,200,64.66385107115971,6057,15769,21826,2396,9080,1232,0,0,0,0,0,0,0,176,21.6040691266189,08/05/2015 06:29,61.1284681
Battersea,Con,76111,51031,141,67.23338282245668,7938,26730,18792,2241,1586,1682,0,0,0,0,0,0,0,0,16.7861509503059,08/05/2015 01:23,100
