"snsname","snshandle","datetime","text","likes","comments","shares","postlink"
"Scottish National Party (SNP)","theSNP","2021-05-06 23:21:41 CEST","🗳️ Polls have now closed in the 2021 Scottish Parliamentary elections. 🏴󠁧󠁢󠁳󠁣󠁴󠁿 Thank you to everyone who #VotedSNP to re-elect Nicola Sturgeon as First Minister and put Scotland’s recovery in Scotland’s hands.",2399,494,92,"https://www.facebook.com/77249349077/posts/10159451108599078"
"Scottish Conservatives","ScottishConservatives","2021-05-06 23:05:03 CEST","A huge thank you to everyone who headed to the polls and cast their votes for the Scottish Conservatives.",2388,511,78,"https://www.facebook.com/136308776480/posts/10157943075281481"
"Scottish Green Party","ScottishGreens","2021-05-06 23:03:41 CEST","Thank you to all of our candidates, staff and volunteers who have made this campaign possible.💚 But most of all, thank you to every one of you who has put your trust in us and voted like our future depends on it. Together, we can build a fairer, greener and better Scotland. 💚",683,23,38,"https://www.facebook.com/17999726169/posts/10159269695681170"
"Scottish Liberal Democrats","ScotLibDems","2021-05-06 23:02:24 CEST","A message from Willie Rennie as polls close: ""I would like to thank all of the Scottish Liberal Democrat activists who have worked so hard over the past few months to deliver an energetic and positive campaign from the Borders to the Highlands and Islands. “We have been clear that a vote for the Scottish Liberal Democrats is a vote to put recovery first and spend the next five years tackling serious issues like mental health, education and the climate emergency. “As we wait on tenterhooks for results to come in, we should take a moment to recognise how special it is to live in a country where parties can compete freely and fairly for the public’s vote. There are so many people around the world who wish they had the same opportunities.”",44,11,0,"https://www.facebook.com/397986050296687/posts/3995342047227718"
"Scottish Liberal Democrats","ScotLibDems","2021-05-06 23:00:28 CEST","To all our members and campaigners who’ve braved the elements, traipsed up and down streets and driveways, and phone-banked until they’re blue in the face, to our candidates who stepped forward to Put Recovery First for Scotland and led local teams in the most difficult circumstances, to our voters and supporters for putting your faith in us and for all those who engaged, liked, commented, shared, debated, argued, retweeted, or otherwise got involved in what has been a remarkable election - Thank You. 🔶",93,7,16,"https://www.facebook.com/397986050296687/posts/3995517957210127"
"Scottish Labour Party","ScottishLabourParty","2021-05-06 23:00:00 CEST","To all the 🏡 door-knockers 👟 pavement-pounders ☎ phone callers and 📃 leaflet-deliverers, thank you so much for getting out the vote for Labour!",200,91,15,"https://www.facebook.com/310039442421596/posts/4066625730096263"
"Scottish Labour Party","ScottishLabourParty","2021-05-06 22:50:00 CEST","Did you make it #BothVotesLabour today? 🌹 You did your local community proud. Share this 👇",63,29,5,"https://www.facebook.com/310039442421596/posts/4066621420096694"
"Scottish National Party (SNP)","theSNP","2021-05-06 22:45:00 CEST","📢 There’s only 15 MINUTES LEFT to make it #BothVotesSNP to re-elect Nicola Sturgeon as First Minister and put Scotland’s recovery in Scotland’s hands. 📱 Don’t wake up the day after thinking that you could have done more - message 5 of your friends to remind them to vote.",220,69,16,"https://www.facebook.com/77249349077/posts/10159447745514078"
"Scottish Labour Party","ScottishLabourParty","2021-05-06 22:30:00 CEST","Not had a chance to make it #BothVotesLabour yet? Hurry! Grab your face mask and a pen and head to your polling station - polls close at 10pm.",19,7,1,"https://www.facebook.com/310039442421596/posts/4066614636764039"
"Scottish National Party (SNP)","theSNP","2021-05-06 22:30:00 CEST","🚨 Don't leave our future in the hands of Boris Johnson and the Westminster Tories - VOTE NOW to secure #indyref2 and a progressive SNP government. ⏰ Only 30 minutes left to make it #BothVotesSNP. 👇 With us? Pass it on.",657,282,44,"https://www.facebook.com/77249349077/posts/10159450451424078"
"Scottish National Party (SNP)","theSNP","2021-05-06 22:15:01 CEST","💛 You still have time to vote for a transformative SNP government that will deliver a National Care Service. 🗳 Don't leave it to chance - get to a polling station and make it #BothVotesSNP right now. 📲 Keep reminding all your friends and family to vote. Every vote counts!",155,21,11,"https://www.facebook.com/77249349077/posts/10159450447474078"
"Scottish National Party (SNP)","theSNP","2021-05-06 22:13:15 CEST","🏴󠁧󠁢󠁳󠁣󠁴󠁿 Remember, if you are in a line at a polling station before 10PM you will still be able to vote, regardless of what time you get in the building. Don’t be deterred by a queue. 🗳 Make it #BothVotesSNP TODAY to re-elect Nicola Sturgeon as First Minister",170,53,21,"https://www.facebook.com/77249349077/posts/10159450951834078"
"Scottish Green Party","ScottishGreens","2021-05-06 22:07:48 CEST","Voting closes at 10pm! Make sure your vote counts and that you use your peach-coloured ballot to vote for the Scottish Greens. 🍑 🗳️💚",52,7,3,"https://www.facebook.com/17999726169/posts/10159269600586170"
"Scottish Labour Party","ScottishLabourParty","2021-05-06 22:00:01 CEST","Left it until the last minute to vote Labour? Don't worry, you have until 10pm!",67,11,8,"https://www.facebook.com/310039442421596/posts/4066608723431297"
"Scottish Conservatives","ScottishConservatives","2021-05-06 22:00:00 CEST","LAST CHANCE TO STOP AN SNP MAJORITY. Just one hour to go until polls close - make sure all your friends and family have used their peach party list votes for the Scottish Conservatives.",198,34,9,"https://www.facebook.com/136308776480/posts/10157942269166481"
"Scottish National Party (SNP)","theSNP","2021-05-06 22:00:00 CEST","⏰ ONLY 1 HOUR LEFT to ensure Scotland's recovery is in Scotland's hands, not Boris Johnson's. 🔎 Find your nearest polling station and go vote now: https://wheredoivote.co.uk 📱 Don’t wake up tomorrow thinking you could have done more - message 5 of friends now and remind them to make it #BothVotesSNP.",230,103,47,"https://www.facebook.com/77249349077/posts/10159450834474078"
"Scottish National Party (SNP)","theSNP","2021-05-06 21:35:00 CEST","🌳 Let's deliver a green jobs revolution in Scotland and tackle climate change together. 🗳 To re-elect Nicola Sturgeon and build a fairer, greener recovery, you've got to make it #BothVotesSNP today. 📱 Don't leave it to chance - VOTE BY 10PM! Message 5 friends to remind them to do the same.",142,31,8,"https://www.facebook.com/77249349077/posts/10159450434369078"
"Scottish Green Party","ScottishGreens","2021-05-06 21:25:40 CEST","⏰ Polls close in 90 minutes! ⏰ Every vote is crucial, so if you have voted for the Scottish Greens then please share the graphic below to show your support and encourage your friends and family to do the same. 💚🗳️",33,0,4,"https://www.facebook.com/17999726169/posts/10159269532836170"
