,word,top_20_raw,top_20,tf-idf
0,the,672.0,,
1,to,640.0,,
2,scotland,489.0,489.0,694.0642137114572
3,and,447.0,,
4,in,376.0,,
5,it,332.0,,
6,bothvotessnp,297.0,297.0,416.40076088340817
7,of,288.0,,
8,for,274.0,,
9,we,274.0,,
10,make,257.0,277.0,418.498697783178
11,re,225.0,,
12,on,225.0,,
13,snp,214.0,207.0,417.9537467282575
14,vote,148.0,170.0,400.66401716491043
15,hands,146.0,,
16,our,142.0,,
17,is,134.0,,
18,recovery,128.0,128.0,292.84534890324966
19,may,127.0,,
20,elect,,158.0,348.8342297400305
21,hand,,146.0,311.52072683798946
22,sturgeon,,119.0,280.4648120154375
23,put,,103.0,251.38355541448243
24,first,,99.0,246.54747668939345
25,child,,96.0,292.79945667393906
26,future,,90.0,242.39874567733253
27,minister,,88.0,228.62481106172206
28,free,,79.0,238.17733862283913
29,scottish,,77.0,221.04031270072457
30,government,,67.0,195.40301749784368
31,deliver,,64.0,194.06686484826446
32,nhs,,58.0,189.58364539646507
33,get,,52.0,
34,school,,,177.41278801786993
