"snsname","snshandle","datetime","text","likes","comments","shares","postlink"
"Scottish Conservatives","ScottishConservatives","2021-05-06 23:05:03 CEST","A huge thank you to everyone who headed to the polls and cast their votes for the Scottish Conservatives.",2388,511,78,"https://www.facebook.com/136308776480/posts/10157943075281481"
"Scottish Conservatives","ScottishConservatives","2021-05-06 22:00:00 CEST","LAST CHANCE TO STOP AN SNP MAJORITY. Just one hour to go until polls close - make sure all your friends and family have used their peach party list votes for the Scottish Conservatives.",198,34,9,"https://www.facebook.com/136308776480/posts/10157942269166481"
"Scottish Conservatives","ScottishConservatives","2021-05-06 21:01:00 CEST","Just TWO HOURS LEFT to save Scotland's recovery and stop the SNP's push for another referendum. Don't split the pro-UK vote or it could hand Nicola Sturgeon a majority. Make your vote count by using it for the Scottish Conservatives.",192,16,6,"https://www.facebook.com/136308776480/posts/10157942181046481"
"Scottish Conservatives","ScottishConservatives","2021-05-06 20:30:00 CEST","The only way to guarantee that we stop an SNP majority and stop them dividing our country is by pro-UK voters lending their peach party list votes to the Scottish Conservatives. Today, make your vote count towards securing Scotland’s recovery. #PeachVoteTory",104,2,4,"https://www.facebook.com/136308776480/posts/10157942294761481"
"Scottish Conservatives","ScottishConservatives","2021-05-06 20:01:00 CEST","THREE HOURS LEFT to stop an SNP majority and start rebuilding Scotland. Keep the pro-UK vote together and lend the Scottish Conservatives your peach party list vote.",251,20,10,"https://www.facebook.com/136308776480/posts/10157942176376481"
"Scottish Conservatives","ScottishConservatives","2021-05-06 19:30:00 CEST","The ONLY WAY to guarantee we stop the SNP's plan for another referendum is by using your party list vote on the peach ballot for the Scottish Conservatives. If we stop them, we can focus 100% on rebuilding Scotland.",462,21,5,"https://www.facebook.com/136308776480/posts/10157942234926481"
"Scottish Conservatives","ScottishConservatives","2021-05-06 19:00:01 CEST","Please remind everyone you know who wants to stop the SNP to use their peach ballot for the Scottish Conservatives TONIGHT. There is only FOUR HOURS LEFT to send Nicola Sturgeon a message that we don't want indyref2.",201,37,12,"https://www.facebook.com/136308776480/posts/10157942169936481"
"Scottish Conservatives","ScottishConservatives","2021-05-06 18:29:00 CEST","For ONE DAY ONLY, we can show the SNP and indyref2 the red card. Use your peach party list vote for the Scottish Conservatives to take the SNP’s obsession off the pitch, and get all of the focus onto rebuilding Scotland.",427,143,16,"https://www.facebook.com/136308776480/posts/10157941204046481"
"Scottish Conservatives","ScottishConservatives","2021-05-06 18:01:00 CEST","All over Scotland, former Labour voters are willing to lend their peach party list vote to the Scottish Conservatives to stop an SNP majority and stop indyref2. Even former Labour politicians are doing it 👇",297,9,41,"https://www.facebook.com/136308776480/posts/10157942165621481"
"Scottish Conservatives","ScottishConservatives","2021-05-06 16:31:00 CEST","TODAY is your chance to stop an SNP majority and stop indyref2 in its tracks. Give your peach party list vote to the Scottish Conservatives and let's stop them together.",276,26,12,"https://www.facebook.com/136308776480/posts/10157942160456481"
"Scottish Conservatives","ScottishConservatives","2021-05-06 15:24:48 CEST","The Daily Mail have endorsed the Scottish Conservatives as the ""only option"" for pro-UK voters with their peach party list ballots. Make your vote count to stop an SNP majority and stop indyref2. #PeachVoteTory",207,21,10,"https://www.facebook.com/136308776480/posts/10157942086286481"
"Scottish Conservatives","ScottishConservatives","2021-05-06 14:04:00 CEST","Rishi Sunak: ""The undeniable truth is that Scotland is a stronger nation because it is part of a United Kingdom. ""If you want to get your political leaders focused on the things that matter to you and your family, then you need to use your peach party list vote for the Scottish Conservatives.""",529,84,16,"https://www.facebook.com/136308776480/posts/10157941182751481"
"Scottish Conservatives","ScottishConservatives","2021-05-06 13:00:01 CEST","The ONLY way to stop an SNP majority and stop their plans to rip us out of the UK is to use your peach party vote for the Scottish Conservatives 👇 #PeachVoteTory",754,172,49,"https://www.facebook.com/136308776480/posts/10157941769441481"
"Scottish Conservatives","ScottishConservatives","2021-05-06 12:02:01 CEST","All the evidence from poll after poll shows that the Scottish Conservatives can stop an SNP majority and stop another referendum if pro-UK voters unite and lend us their peach ballots.",388,17,15,"https://www.facebook.com/136308776480/posts/10157941164436481"
"Scottish Conservatives","ScottishConservatives","2021-05-06 11:41:43 CEST","Using your peach party list vote for the Scottish Conservatives is the tried and tested way to stop an SNP majority. It worked in 2016 and if voters unite to make the anti-referendum, pro-UK majority vote count, it will work again today. #PeachVoteTory",244,21,13,"https://www.facebook.com/136308776480/posts/10157941803616481"
"Scottish Conservatives","ScottishConservatives","2021-05-06 11:17:51 CEST","#PeachVoteTory - the ONLY way to stop an SNP majority and stop indyref2 👇",244,18,17,"https://www.facebook.com/136308776480/posts/10157941780046481"
"Scottish Conservatives","ScottishConservatives","2021-05-06 10:30:00 CEST","We’re only going to get one shot at stopping the SNP - and it's happening today. Make your vote count towards securing Scotland’s recovery. Make it Scottish Conservative with your peach party list vote.",249,11,24,"https://www.facebook.com/136308776480/posts/10157941161316481"
"Scottish Conservatives","ScottishConservatives","2021-05-06 09:58:48 CEST","Today we have a simple choice - SNP majority or #PeachVoteTory. We’re only going to get one shot at this. Make your vote count towards securing Scotland’s recovery. Make it Scottish Conservative with your peach party list vote.",373,70,20,"https://www.facebook.com/136308776480/posts/10157941711971481"
