"snsname","snshandle","datetime","text","likes","comments","shares","postlink"
"Scottish National Party (SNP)","theSNP","2021-05-06 23:21:41 CEST","🗳️ Polls have now closed in the 2021 Scottish Parliamentary elections. 🏴󠁧󠁢󠁳󠁣󠁴󠁿 Thank you to everyone who #VotedSNP to re-elect Nicola Sturgeon as First Minister and put Scotland’s recovery in Scotland’s hands.",2399,494,92,"https://www.facebook.com/77249349077/posts/10159451108599078"
"Scottish National Party (SNP)","theSNP","2021-05-06 22:45:00 CEST","📢 There’s only 15 MINUTES LEFT to make it #BothVotesSNP to re-elect Nicola Sturgeon as First Minister and put Scotland’s recovery in Scotland’s hands. 📱 Don’t wake up the day after thinking that you could have done more - message 5 of your friends to remind them to vote.",220,69,16,"https://www.facebook.com/77249349077/posts/10159447745514078"
"Scottish National Party (SNP)","theSNP","2021-05-06 22:30:00 CEST","🚨 Don't leave our future in the hands of Boris Johnson and the Westminster Tories - VOTE NOW to secure #indyref2 and a progressive SNP government. ⏰ Only 30 minutes left to make it #BothVotesSNP. 👇 With us? Pass it on.",657,282,44,"https://www.facebook.com/77249349077/posts/10159450451424078"
"Scottish National Party (SNP)","theSNP","2021-05-06 22:15:01 CEST","💛 You still have time to vote for a transformative SNP government that will deliver a National Care Service. 🗳 Don't leave it to chance - get to a polling station and make it #BothVotesSNP right now. 📲 Keep reminding all your friends and family to vote. Every vote counts!",155,21,11,"https://www.facebook.com/77249349077/posts/10159450447474078"
"Scottish National Party (SNP)","theSNP","2021-05-06 22:13:15 CEST","🏴󠁧󠁢󠁳󠁣󠁴󠁿 Remember, if you are in a line at a polling station before 10PM you will still be able to vote, regardless of what time you get in the building. Don’t be deterred by a queue. 🗳 Make it #BothVotesSNP TODAY to re-elect Nicola Sturgeon as First Minister",170,53,21,"https://www.facebook.com/77249349077/posts/10159450951834078"
"Scottish National Party (SNP)","theSNP","2021-05-06 22:00:00 CEST","⏰ ONLY 1 HOUR LEFT to ensure Scotland's recovery is in Scotland's hands, not Boris Johnson's. 🔎 Find your nearest polling station and go vote now: https://wheredoivote.co.uk 📱 Don’t wake up tomorrow thinking you could have done more - message 5 of friends now and remind them to make it #BothVotesSNP.",230,103,47,"https://www.facebook.com/77249349077/posts/10159450834474078"
"Scottish National Party (SNP)","theSNP","2021-05-06 21:35:00 CEST","🌳 Let's deliver a green jobs revolution in Scotland and tackle climate change together. 🗳 To re-elect Nicola Sturgeon and build a fairer, greener recovery, you've got to make it #BothVotesSNP today. 📱 Don't leave it to chance - VOTE BY 10PM! Message 5 friends to remind them to do the same.",142,31,8,"https://www.facebook.com/77249349077/posts/10159450434369078"
"Scottish National Party (SNP)","theSNP","2021-05-06 21:15:33 CEST","Scotland's future is in your hands right now. What do we choose? 🏴󠁧󠁢󠁳󠁣󠁴󠁿 Ending child poverty, eradicating inequality, and protecting our planet? ❌ Or more years of Westminster austerity and failure, with Boris Johnson in the driving seat? LESS THAN 2 HOURS LEFT TO VOTE. Make it count with #BothVotesSNP and remind 5 friends to vote.",148,19,23,"https://www.facebook.com/77249349077/posts/10159450423024078"
"Scottish National Party (SNP)","theSNP","2021-05-06 21:00:01 CEST","🚨 Only 2 HOURS LEFT to re-elect Nicola Sturgeon as First Minister and put Scotland’s recovery in Scotland’s hands. 🔑 The key to achieving it is #BothVotesSNP today. 📱 Every single vote will count, so message 5 friends right now to remind them to vote.",1382,361,166,"https://www.facebook.com/77249349077/posts/10159450416214078"
"Scottish National Party (SNP)","theSNP","2021-05-06 20:30:00 CEST","🧸 If re-elected, we will double the ""game-changing"" Scottish Child Payment and tackle child poverty. 🗳 If you want a fairer society and Nicola Sturgeon as First Minister, vote for it - polls close at 10PM TODAY. 📱 Share this, spread the word, and remind 5 friends to vote.",134,35,19,"https://www.facebook.com/77249349077/posts/10159450402544078"
"Scottish National Party (SNP)","theSNP","2021-05-06 20:00:21 CEST","🤝 Together, we can build a better, fairer, greener, independent Scotland. 🏴󠁧󠁢󠁳󠁣󠁴󠁿 Don't leave an independence referendum to chance - make it #BothVotesSNP to re-elect a strong #TeamSNP. 🗳 Just 3 HOURS LEFT and the election is on a knife edge. Remind 5 friends to vote.",133,37,10,"https://www.facebook.com/77249349077/posts/10159450391964078"
"Scottish National Party (SNP)","theSNP","2021-05-06 19:30:02 CEST","✅ Before the SNP came into office, only 45% of Scots were registered with a dentist. Now, it’s over 95%. 🦷 Make it #BothVotesSNP for free NHS dental care - so we can complete our mission to make healthcare truly free at the point of use. 🚨 Don't leave it to chance - you have less than 4 hours to vote for it.",202,86,23,"https://www.facebook.com/77249349077/posts/10159450369604078"
"Scottish National Party (SNP)","theSNP","2021-05-06 19:00:00 CEST","⚽️ If re-elected, the SNP will invest £60m in our Outdoor Community Play Fund - so we can renew every single play park in Scotland. 🗳 Make it #BothVotesSNP TODAY to make Scotland the best place to grow up in, and build a fairer recovery. 📱 Message 5 friends right now to remind them to vote.",483,223,41,"https://www.facebook.com/77249349077/posts/10159450360894078"
"Scottish National Party (SNP)","theSNP","2021-05-06 18:45:52 CEST","📢 The power to shape Scotland's future is in your hands today - don't waste it! 🚨 Don't leave an SNP Government, and an independence referendum, t chance. 🗳 Turnout is key - so remind 5 friends and family members right now to vote and make it #BothVotesSNP by 10pm.",130,36,32,"https://www.facebook.com/77249349077/posts/10159450355849078"
"Scottish National Party (SNP)","theSNP","2021-05-06 18:30:01 CEST","🏥 The future of our NHS is in your hands. 🏴󠁧󠁢󠁳󠁣󠁴󠁿 Do we choose record investment, more mental health funding, and free NHS dentistry with the SNP - or risk it all with the Tories? 🚨 Don't leave it to chance - make it #BothVotesSNP by 10pm and remind 5 friends to vote.",272,131,38,"https://www.facebook.com/77249349077/posts/10159450012909078"
"Scottish National Party (SNP)","theSNP","2021-05-06 18:00:52 CEST","For all this, and to re-elect Nicola Sturgeon as First Minister of a bold SNP Government, make it #BothVotesSNP today 🍎 Universal free school meals 💛 National Care Service 🏗️ National Infrastructure Company 🦷 Free NHS dental care 🔎 And much more: snp.org/manifesto:=:https://www.snp.org/manifesto/ Just 5 hours left! VOTE and remind 5 friends to do the same.",302,46,32,"https://www.facebook.com/77249349077/posts/10159449965394078"
"Scottish National Party (SNP)","theSNP","2021-05-06 17:30:01 CEST","🤝 Make it #BothVotesSNP to deliver a National Care Service and a National Wage for care staff. 🗳 The power to build a better society is in your hands, so use it. 🚨 Vote by 10pm tonight and tell everyone you know.",611,169,37,"https://www.facebook.com/77249349077/posts/10159449952614078"
"Scottish National Party (SNP)","theSNP","2021-05-06 17:00:01 CEST","📢 There’s only 6 HOURS LEFT to secure the choice over Scotland's future, with #BothVotesSNP. 🚨 If you don't choose our future, somebody else will. 📲 This election is absolutely crucial - so message 5 of your friends and remind them to vote.",1236,565,188,"https://www.facebook.com/77249349077/posts/10159449918109078"
"Scottish National Party (SNP)","theSNP","2021-05-06 16:31:05 CEST","🏴󠁧󠁢󠁳󠁣󠁴󠁿 We can put Scotland's recovery into Scotland's hands - but only if we use our power and VOTE. 🔎 Find your polling station here: https://wheredoivote.co.uk ⏰ Make it #BothVotesSNP by 10pm, and remind 5 friends to do the same.",553,477,157,"https://www.facebook.com/77249349077/posts/789418111706022"
"Scottish National Party (SNP)","theSNP","2021-05-06 16:30:28 CEST","📢 The SNP will scrap the council tax for everyone under 22 - saving a young person living alone in a Band B property around £750. 🏡 If you want it, you have to vote for it. 🗳️ Make it #BothVotesSNP BY 10PM TODAY for a progressive SNP government and a fairer recovery.",299,174,45,"https://www.facebook.com/77249349077/posts/10159449902864078"
"Scottish National Party (SNP)","theSNP","2021-05-06 15:58:00 CEST","👇🏻 Line of Duty’s Martin Compston is encouraging you to make it #BothVotesSNP. 🗳 There's ONLY 7 HOURS LEFT to re-elect Nicola Sturgeon as First Minister and put Scotland’s recovery in Scotland’s hands. 📱 Message 5 of your friends to remind them to vote.",1408,343,173,"https://www.facebook.com/77249349077/posts/10159449898099078"
"Scottish National Party (SNP)","theSNP","2021-05-06 15:30:00 CEST","🌳 If re-elected, the SNP will introduce radical land reform legislation within the next Parliament. 🗳 Make it #BothVotesSNP TODAY to re-elect Nicola Sturgeon as First Minister and put Scotland’s recovery in Scotland’s hands. 📱 Message 5 of your friends right now to remind them to vote.",110,18,8,"https://www.facebook.com/77249349077/posts/10159449687894078"
"Scottish National Party (SNP)","theSNP","2021-05-06 15:17:18 CEST","📺 Watch the re-broadcast of our Get Out The Vote rally - featuring Alan Cumming, Mhairi Black, Brian Cox, Val McDermid, Martin Compston, Iona Fyfe, Stuart Braithwaite and more! 📱 Remind 5 friends to make it #BothVotesSNP by 10pm today.",621,705,320,"https://www.facebook.com/77249349077/posts/481233709665383"
"Scottish National Party (SNP)","theSNP","2021-05-06 15:00:00 CEST","📢 The choice Scotland faces is clear: ❌ Disability Cuts, Child Poverty, Austerity from Westminster. 💛 Or an SNP Scottish Government guided by fairness, equality and compassion - building a Scotland where no one’s left behind. 🗳 Make it #BothVotesSNP TODAY.",480,69,90,"https://www.facebook.com/77249349077/posts/10159448697409078"
"Scottish National Party (SNP)","theSNP","2021-05-06 14:30:00 CEST","🍝 If re-elected, we will provide free school breakfasts and lunches to every primary school pupil in Scotland, all year round. 🗳 Make it #BothVotesSNP TODAY to put Scotland’s recovery in Scotland’s hands. 📱 Message 5 of your friends to remind them to vote",177,64,33,"https://www.facebook.com/77249349077/posts/10159448689049078"
"Scottish National Party (SNP)","theSNP","2021-05-06 14:00:02 CEST","🗳 Make it #BothVotesSNP TODAY for world-leading climate action. 🏴󠁧󠁢󠁳󠁣󠁴󠁿 Net zero by 2045 🌳 Increase tree planting 🌊 Thousands of new green jobs 🛤 Greener, publicly-owned railways 🛑 No fracking",258,90,19,"https://www.facebook.com/77249349077/posts/10159448685304078"
"Scottish National Party (SNP)","theSNP","2021-05-06 13:45:00 CEST","📢 Don’t wake up tomorrow thinking that you could have done more to secure an SNP government 🗳 You can help to boost turnout at the election TODAY by messaging everyone you know to remind them to make it #BothVotesSNP",114,62,20,"https://www.facebook.com/77249349077/posts/10159448683214078"
"Scottish National Party (SNP)","theSNP","2021-05-06 13:36:44 CEST","Today is polling day. For a better, fairer Scotland, make it #BothVotesSNP today",805,721,506,"https://www.facebook.com/77249349077/posts/752615835445060"
"Scottish National Party (SNP)","theSNP","2021-05-06 13:30:00 CEST","🏥 If re-elected, we'll increase Scottish Government direct investment into mental health services by at least by at least 25%. 🗳 Make it #BothVotesSNP TODAY to re-elect Nicola Sturgeon as First Minister and put Scotland’s recovery in Scotland’s hands.",215,84,31,"https://www.facebook.com/77249349077/posts/10159448681299078"
"Scottish National Party (SNP)","theSNP","2021-05-06 13:00:00 CEST","🗳 Make it #BothvotesSNP TODAY build a Scotland that's the best place to grow up in, and the best to grow old in.   🧸 Wraparound childcare system 💷 Double the Scottish Child Payment 🍝 Universal free school meals 🏡 100,000 more affordable homes 💛 National Care Service",245,67,28,"https://www.facebook.com/77249349077/posts/10159448678384078"
"Scottish National Party (SNP)","theSNP","2021-05-06 12:56:51 CEST","🗳 #VotedSNP? Let us know! 🚨 This election is on a knife edge and every single vote counts. 🏴󠁧󠁢󠁳󠁣󠁴󠁿 Make it #BothVotesSNP by 10PM, share this to show your support, and remind 5 friends.",696,234,160,"https://www.facebook.com/77249349077/posts/10159449867429078"
"Scottish National Party (SNP)","theSNP","2021-05-06 12:45:00 CEST","📢 Make it #BothVotesSNP TODAY to re-elect Nicola Sturgeon as First Minister and put Scotland’s recovery in Scotland’s hands. 📱 Don’t wake up the day after thinking that you could have done more - message 5 of your friends to remind them to vote.",214,76,42,"https://www.facebook.com/77249349077/posts/10159448676089078"
"Scottish National Party (SNP)","theSNP","2021-05-06 12:30:00 CEST","🏡 If re-elected, The SNP will deliver 100,000 new affordable homes by 2032. 🗳 Make it #BothVotesSNP TODAY to re-elect Nicola Sturgeon as First Minister and put Scotland’s recovery in Scotland’s hands. 📱 Message 5 of your friends and family to remind them to vote.",118,57,15,"https://www.facebook.com/77249349077/posts/10159448673529078"
"Scottish National Party (SNP)","theSNP","2021-05-06 12:00:05 CEST","🏴󠁧󠁢󠁳󠁣󠁴󠁿 The SNP has the bold, transformative policies needed to rebuild Scotland from the pandemic.   🗳 Make it #BothVotesSNP TODAY to re-elect Nicola Sturgeon as First Minister and put Scotland’s recovery in Scotland’s hands. 📱 Message 5 of your friends and family to remind them to vote.",267,26,18,"https://www.facebook.com/77249349077/posts/10159448668374078"
"Scottish National Party (SNP)","theSNP","2021-05-06 11:46:27 CEST","🏴󠁧󠁢󠁳󠁣󠁴󠁿 The power is in your hands - to re-elect @NicolaSturgeon as First Minister, to deliver a fairer recovery and to secure a post-pandemic #indyref2. 🚨 Don't leave it to chance - make it #BothVotesSNP by 10pm TODAY. 📲 With us? Share this video and remind 5 friends to vote.",658,140,176,"https://www.facebook.com/77249349077/posts/10159449775164078"
"Scottish National Party (SNP)","theSNP","2021-05-06 11:00:00 CEST","📢 Don’t wake up the day after thinking that you could have done more in the final days of the campaign: 🗳 You can help to boost turnout at the election by messaging everyone you know to remind them to make it #BothVotesSNP on Thursday. 📱Tag 5 of your friends and family below",281,56,91,"https://www.facebook.com/77249349077/posts/10159448665439078"
"Scottish National Party (SNP)","theSNP","2021-05-06 10:45:00 CEST","📢 Don’t wake up tomorrow thinking that you could have done more to secure an SNP government 🗳 You can help to boost turnout at the election TODAY by messaging everyone you know to remind them to make it #BothVotesSNP",86,26,41,"https://www.facebook.com/77249349077/posts/10159448662569078"
"Scottish National Party (SNP)","theSNP","2021-05-06 10:30:03 CEST","📢 This election is on a knife-edge make it #BothVotesSNP TODAY to ensure Scotland's future is in Scotland's hands, not those of Boris Johnson's Tories. 📱 Don’t wake up the day after thinking that you could have done more - message 5 of your friends to remind them to vote.",487,139,72,"https://www.facebook.com/77249349077/posts/10159448657499078"
